zip,json
01731,"{""latitude"": 42.45675, ""longitude"": -71.27951999999999}"
01740,"{""latitude"": 42.43616, ""longitude"": -71.60728}"
01741,"{""latitude"": 42.53001, ""longitude"": -71.35128}"
01742,"{""latitude"": 42.46225, ""longitude"": -71.36424}"
01745,"{""latitude"": 42.29204, ""longitude"": -71.5013}"
01746,"{""latitude"": 42.19775, ""longitude"": -71.44499}"
01747,"{""latitude"": 42.1248, ""longitude"": -71.53508000000001}"
01748,"{""latitude"": 42.2255, ""longitude"": -71.53779}"
01749,"{""latitude"": 42.38868, ""longitude"": -71.54647}"
01752,"{""latitude"": 42.3494, ""longitude"": -71.54681}"
01754,"{""latitude"": 42.4264, ""longitude"": -71.45612}"
01756,"{""latitude"": 42.09302, ""longitude"": -71.55148}"
01757,"{""latitude"": 42.15678, ""longitude"": -71.51911}"
01760,"{""latitude"": 42.28434, ""longitude"": -71.34983000000001}"
01770,"{""latitude"": 42.234140000000004, ""longitude"": -71.37532}"
01772,"{""latitude"": 42.30144, ""longitude"": -71.53041999999999}"
01773,"{""latitude"": 42.4252, ""longitude"": -71.31039}"
01775,"{""latitude"": 42.429829999999995, ""longitude"": -71.51148}"
01776,"{""latitude"": 42.38473, ""longitude"": -71.4234}"
01778,"{""latitude"": 42.358290000000004, ""longitude"": -71.35918000000001}"
01801,"{""latitude"": 42.486999999999995, ""longitude"": -71.15426}"
01803,"{""latitude"": 42.502159999999996, ""longitude"": -71.20257}"
01810,"{""latitude"": 42.64655, ""longitude"": -71.16505}"
01821,"{""latitude"": 42.55017, ""longitude"": -71.25216999999999}"
01824,"{""latitude"": 42.59114, ""longitude"": -71.35564000000001}"
01826,"{""latitude"": 42.68314, ""longitude"": -71.30060999999999}"
01827,"{""latitude"": 42.67642, ""longitude"": -71.5005}"
01830,"{""latitude"": 42.79591, ""longitude"": -71.05314}"
01832,"{""latitude"": 42.79103, ""longitude"": -71.13131}"
01833,"{""latitude"": 42.72401, ""longitude"": -70.9821}"
01834,"{""latitude"": 42.75199, ""longitude"": -71.01486}"
01835,"{""latitude"": 42.75293, ""longitude"": -71.08594000000001}"
01840,"{""latitude"": 42.70688, ""longitude"": -71.1601}"
01841,"{""latitude"": 42.71083, ""longitude"": -71.1651}"
01843,"{""latitude"": 42.689840000000004, ""longitude"": -71.16096999999999}"
01844,"{""latitude"": 42.73401, ""longitude"": -71.18889}"
01845,"{""latitude"": 42.67135, ""longitude"": -71.08653000000001}"
01850,"{""latitude"": 42.65569, ""longitude"": -71.30292}"
01851,"{""latitude"": 42.62813, ""longitude"": -71.33566}"
01852,"{""latitude"": 42.63232, ""longitude"": -71.29538000000001}"
01854,"{""latitude"": 42.64907, ""longitude"": -71.34805}"
01860,"{""latitude"": 42.838570000000004, ""longitude"": -71.01191999999999}"
01862,"{""latitude"": 42.574870000000004, ""longitude"": -71.29344}"
01863,"{""latitude"": 42.63242, ""longitude"": -71.39059}"
01864,"{""latitude"": 42.581559999999996, ""longitude"": -71.08755}"
01867,"{""latitude"": 42.535070000000005, ""longitude"": -71.10555}"
01876,"{""latitude"": 42.61224, ""longitude"": -71.22746}"
01879,"{""latitude"": 42.66638, ""longitude"": -71.42869}"
01880,"{""latitude"": 42.50222, ""longitude"": -71.06702}"
01886,"{""latitude"": 42.586420000000004, ""longitude"": -71.44008000000001}"
01887,"{""latitude"": 42.560990000000004, ""longitude"": -71.16545}"
01890,"{""latitude"": 42.4518, ""longitude"": -71.1463}"
01901,"{""latitude"": 42.46102, ""longitude"": -70.94655999999999}"
01902,"{""latitude"": 42.47085, ""longitude"": -70.93991}"
01904,"{""latitude"": 42.49155, ""longitude"": -70.97275}"
01905,"{""latitude"": 42.46614, ""longitude"": -70.97589}"
01906,"{""latitude"": 42.46799, ""longitude"": -71.01441}"
01907,"{""latitude"": 42.47583, ""longitude"": -70.90673000000001}"
01908,"{""latitude"": 42.42978, ""longitude"": -70.92729}"
01913,"{""latitude"": 42.852959999999996, ""longitude"": -70.94458}"
01915,"{""latitude"": 42.5681, ""longitude"": -70.86273}"
01921,"{""latitude"": 42.68152, ""longitude"": -71.01897}"
01922,"{""latitude"": 42.758720000000004, ""longitude"": -70.91448000000001}"
01923,"{""latitude"": 42.57399, ""longitude"": -70.94926}"
01929,"{""latitude"": 42.63474, ""longitude"": -70.77689000000001}"
01930,"{""latitude"": 42.625890000000005, ""longitude"": -70.68968000000001}"
01937,"{""latitude"": 42.58573, ""longitude"": -70.98403}"
01938,"{""latitude"": 42.68365, ""longitude"": -70.84325}"
